PAGE #,Item #,Description ,List Price ,Comments 
70,B377700-7,MAX 720 PIPE ADAPTER, $	781.00 ,Maximum  allowable discount 35%
70,B377700-6,MENACE 6' BABY EXTENSION ASSY, $	521.00 ,Maximum  allowable discount 35%
70,B377709,"SPEED MENACE KIT F/ 1-1/4"" PIPE", $	152.00 ,
70,B377710,"SPEED MENACE KIT F/ 1-1/2"" PIPE", $	152.00 ,
71,299886,"BAG,BABY BOA,5#,CORDURA,BLACK", $	41.00 ,
71,299887,"BAG,JUNIOR BOA,10#,CORDURA,BLACK", $	55.00 ,
71,299888,"BAG,SENIOR BOA,15#,CORDURA,BLACK", $	72.00 ,
71,427803,"BOOM,JR MATTH", $	459.00 ,
71,427801,"BOOM,BABY MATTH", $	293.00 ,
71,427802,"BOOM,MINI MATTH", $	209.00 ,
71,B427802,"BOOM,MINI MATTH, BLACK ", $	209.00 ,
71,427804,"DROP DOWN,BABY,5/8", $	61.00 ,
71,427805,"DROP DOWN,JR,1-1/8''", $	114.00 ,
71,429688,ANGLE DROP DOWN 45 DEGREE, $	71.00 ,
71,388211,"GOBO ARM,W/MAGIC FINGER", $	140.00 ,
71,680011,BROKEN ARM ALM, $	235.00 ,
72,429752,"ARM,SIDE,BABY,HEAVY DUTY", $	121.00 ,
72,429751,"ARM, SIDE JUNIOR, HEAVY DUTY", $	125.00 ,
72,429850,"FLAG CLAMP, HEAVY DUTY", $	168.00 ,
72,430126,"H'WOOD,EXT OFF-ARM,BABY", $	130.00 ,
72,430127,"H'WOOD,EXT OFF-ARM,JUNIOR", $	130.00 ,Price of $125.00 in the catalog is incorrect
72,B429753,Grip Helper, $	252.00 ,
72,B377702,"5/8"" FEMALE - CAMERA MOUNT", $	108.00 ,
73,415175,INDIE MOUNT KIT, $	468.00 ,
74,415168,PRO MOUNT KIT, $	686.00 ,
74,415169,MASTER MOUNT KIT, $	911.00 ,
75,415174,MAGIC RISER, $	183.00 ,
75,350604,MICRO GRIP HEAD, $	44.00 ,
75,350614,HOT SHOE ADAPTER 3/8'' to1/4'', $	32.00 ,
75,350635,ADPTR COUPL HEX 3/8TO3/8, $	7.00 ,
75,350602-4,"MICRO-GRIP ROD 20"" 1/4-20 FEMALE THREAD ", $	14.00 ,
75,350602-3,"MICRO-GRIP ROD 12"" 1/4-20 FEMALE THREAD ", $	12.00 ,
75,350602-2,"MICRO-GRIP ROD 8"" 1/4-20 FEMALE THREAD ", $	10.00 ,
75,350602-6,"MICRO-GRIP ROD 6"" 1/4-20 FEMALE THREAD ", $	9.00 ,
75,350602-5,"MICRO-GRIP ROD 4"" 1/4-20 FEMALE THREAD ", $	8.00 ,
75,350602-7,"MICROGRIP ROD 20"" W/3/8-16 MALE THREAD", $	17.00 ,
75,350602-8,"MICROGRIP ROD 12"" W/3/8-16 MALE THREAD", $	15.00 ,
75,350602-9,"MICROGRIP ROD 8"" W/3/8-16 MALE THREAD", $	13.00 ,
75,350602-10,"MICROGRIP ROD 6"" W/3/8-16 MALE THREAD", $	12.00 ,
75,350602-11,"MICROGRIP ROD 4"" W/3/8-16 MALE THREAD", $	10.00 ,
76,429482,BRAUER HOSTESS TRAY KIT," $	1,124.00 ",
76,429483,BRAUER MOUNT TRAY ONLY, $	505.00 ,
77,415177,FREEDOM CAR MOUNT KIT," $	1,660.00 ",
77,415178M,"RICKY RODS, 10''", $	30.00 ,
77,415179,RICKY RODS RIGHT ANGLE, $	57.00 ,
78,415176,"QUICK STRUTS -ROPE RATCHET 1/8"" - ", $	16.00 ,
78,415180,SWIVEL HEAD CAMERA MOUNT , $	505.00 ,
78,B350585,QUICK HEAD, $	92.00 ,
78,R54012,"T-HAND,3/8-16 THRU,3.35'' RED", $	9.00 ,
78,B350580,"GRIPHEAD,HOLLYWD,2.5'',BLK.", $	41.00 ,
78,429679,HEAVY WEIGHT HANGER BABY W/ PIN 1/2-13 MALE THREAD, $	14.00 ,
78,420112-S15,"MINI MATTHELLIINI,SATIN BLACK", $	55.00 ,
78,350584,"MINIGRIP,HEAD", $	30.00 ,
78,415173,BALL HEAD ADAPTER 5/8 FEMALE, $	42.00 ,
79,BH-20,BH-20 BALL HEAD, $	163.00 ,
79,BH-30,BH-30 BALL HEAD, $	183.00 ,
79,427015,SUCTION CUP 6'' + BH-20 HEAD, $	267.00 ,
79,427016,SUCTION CUP 10'' + BH-30 HEAD, $	381.00 ,
79,427000,"SUCTION CUP 6'' PUMP, 5/8' PIN", $	119.00 ,Part #417020 in the catalog is incorrect
79,417022,10'' VACUUM CUP W/ SWIVEL HEAD, $	587.00 ,
80,427006,SUCTION CUP 6'' PUMP +CAMERA  MOUNT, $	164.00 ,
80,427005,SUCTION CUP 4.5'' PUMP+CAMERA MOUNT, $	161.00 ,
80,7000,"BPIN,ST,.63D@3.5,1/4-20 FEMALE", $	10.00 ,
80,417026,"SUCTION CUP 4.5'' PUMP, 5/8PIN", $	77.00 ,Price of $204.00 in the catalog is incorrect
80,6049/100,"6""PUMP SUCTION CUP W/3/8-16 ", $	131.00 ,
80,417023,SUCTION CUP 10'' PUMP, $	203.00 ,
80,427018,10'' VACUUM CUP W/CHEESE PLATE, $	255.00 ,
81,417010,10'' CUP W/ 4-WAY TILT, $	983.00 ,Price of $925.00 in the catalog is incorrect
81,417020,4-WAY TILT PLATE, $	632.00 ,
81,417024,"ADAPTER,KIT 4-WAY TILT PLATE", $	89.00 ,
82,415166,HOOD MOUNT KIT ," $	3,366.00 ",
82,735161,SIDE MOUNT  BRACKET," $	1,145.00 ",
82,415167,SIDE MOUNT KIT ," $	2,061.00 ",
83,425153,WORK HORSE CLAMP, $	322.00 ,
83,735156,"STRAP,TIE DOWN#36603 BLACK", $	51.00 ,
83,6111/100,SMALL LEVELING PAD, $	31.00 ,
83,6084/100,LARGE LEVELING PAD, $	46.00 ,Part #6044/100 in the catalog is incorrect
83,425154,"EXTENS,SCREW JACK,9''(4)", $	344.00 ,
83,425155,"EXTENS,SCREW JACK,15''(4)", $	374.00 ,
83,425160,SWIVEL GRID CLAMP, $	41.00 ,Price of $67.00 in the catalog is incorrect
83,425159,RIGHT ANGLE GRID CLAMP, $	34.00 ,Price of $69.00 in the catalog is incorrect
83,425158,JUNIOR GRID CLAMP, $	67.00 ,
83,425157,BABY GRID CLAMP , $	61.00 ,
84,429627,INFINITY ARM, $	337.00 ,"Maximum allowable discount 00%, contact for quote "
84,429626-5,INFNITY GO PRO MOUNT, $	61.00 ,
84,15033-15,MY WAY TO INFINITY ADAPTOR, $	40.00 ,
84,429626-7,INFINITY ARM MINI MATTHELLINI, $	67.00 ,
84,429626-6,INFINITY BABY RECEIVER ASSY, $	46.00 ,
84,429626-11,INFNTY MFER CHSE PLT TIP KIT, $	50.00 ,
84,429626-9,"INFINITY ARM 5/8"" PIN", $	40.00 ,
84,429626-8,INFINITY ARM COLD SHOE ADAPTER, $	46.00 ,
84,429626-2,"INFINITY BALL 1/4-20"" MALE", $	34.00 ,
84,429626-4,"INFINITY BALL 3/8-16"" MALE", $	34.00 ,
85,415068,THE ELEVATOR KIT," $	4,437.00 ",Price of $4350.00 in the catalog is incorrect. Maxiumum allowabale discount 20% 
86,415165,2X TILT PLATE, $	560.00 ,
86,1880,"NUT,HAND,2.75-12,ALM,MITCHELL", $	79.00 ,
86,415151,"4X-LEVELING HEAD,LOW PROFILE"," $	1,168.00 ",
86,5028,"PLATE,MITCHELL,TOP", $	235.00 ,
86,735152,"PLATE,SLIDE", $	272.00 ,
86,1062-3,LOW PROFILE HANDLE (TIE DOWN) , $	133.00 ,
87,415064,MINI LOW PROFILE LEVEL HEAD," $	1,197.00 ",
87,415065,MINI CHEESE PLATE LEVEL HEAD," $	1,173.00 ",
87,415063,"4X-LEVELING HEAD,MITCHELL"," $	1,100.00 ",
87,395063,"4X-LEVELING HEAD,FLAT", $	937.00 ,
87,725063,"4X-LEVELING HEAD,ELEMAC"," $	1,119.00 ",
87,815121,"ADAPT,CB3(100mm)/H25T", $	625.00 ,
87,515021,ELEMACK TO ELEMACK EXTENSION ARM, $	428.00 ,
87,515024,"ADAPTER,ELEMACK TO MITCHELL", $	428.00 ,
88,815515,"HIGH HAT,6''BB 100MM", $	417.00 ,
88,377715,HIGH HAT BALL 150 mm, $	417.00 ,
88,815510,"HIGH HAT,4.5'' MITCH", $	495.00 ,
88,417006,"CAMERA RISER, 6'',MITCHELL", $	655.00 ,
88,417012,"CAMERA RISER, 12'',MITCHELL", $	655.00 ,
88,395329,"ELEMACK TO MITCHELL ADAPTER 3""", $	417.00 ,
88,845120,"ADAPTER,ELEMAC 100MM/4.0''", $	479.00 ,
88,845122,"ADAPTER,ELEMAC 150MM", $	573.00 ,
88,515025,"ADAPTER,MITCHELL TO ELEMACK", $	344.00 ,
88,12065-02,100mm TOP PLATE, $	126.00 ,Price of $573.00 in the catalog is incorrect 
88,377714,MITCHELL-150mm BOWL  ADAPTER, $	656.00 ,Price of $479.00 in the catalog is incorrect 
88,377710,MITCHELL SACHTLER ADAPTER, $	469.00 ,Price of $344.00 in the catalog is incorrect 
89,415152,LAZY SUZY," $	2,907.00 ",Maximum allowable discount 20%
89,377702,"TELESCOPING BAZOOKA 24"""," $	1,487.00 ",
89,395326,"MINI BAZOOKA 8""", $	426.00 ,
89,515003,ELEMACK MOUNTING PLATE, $	208.00 ,Price of $428.00 in the catalog is incorrect 
89,429779, BABY W/ PIN 3/8-16 MALE THREAD, $	12.00 ,
89,20000-10,"RISR,AL.875""@4.875""5/16-18 TAP", $	24.00 ,
90,249564,STAND SLIDER MINI, $	301.00 ,Maximum allowable discount 35%
90,249561,STAND SLIDER, $	360.00 ,Maximum allowable discount 35%
90,812170,"TRIPOD,MT1"," $	3,388.00 ",
90,812175,"TRIPOD,MT1 W/ TV MITCHELL"," $	3,388.00 ",
90,811171,"DOLLY,D7A,FOR MT1"," $	2,056.00 ",
91,399744,CAMERA WEDGE, $	4.00 ,
91,399733,"CRIBBING,1X3", $	5.00 ,
91,399732,"CRIBBING,2X4", $	5.00 ,
91,417013,CAM TANK W/CASE," $	1,479.00 ",Maximum allowable discount 20%
92,395415,DUTTI DOCK (CAMERA DOCK), $	299.00 ,
92,B386032,STEADY REST BLACK, $	149.00 ,
93,395400,"DUTTI DOLLY, SILVER"," $	1,427.00 ",
93,BL395400,"DUTTI DOLLY, BLUE"," $	1,529.00 ",
93,R395400,"DUTTI DOLLY, RED"," $	1,529.00 ",
93,G395400,"DUTTI DOLLY, GREEN"," $	1,529.00 ",
93,B395400,"DUTTI DOLLY, BLACK"," $	1,529.00 ",
,395400C,DUTTI DOLLY CASE ONLY , $	500.00 ,No allowable discount on this item
94,395410,DUTTI DOLLY WING KIT, $	459.00 ,
94,395400K,"DUTTI DOLLY RENTAL KIT, SILVER"," $	2,550.00 ",
94,B395400K,"DUTTI  DOLLY RENTAL KIT, BLACK"," $	2,652.00 ",
94,BL395400K,"DUTTI DOLLY RENTAL KIT, BLUE"," $	2,652.00 ",
94,R395400K,"DUTTI DOLLY RENTAL KIT, RED"," $	2,652.00 ",
94,G395400K,"DUTTI DOLLY RENTAL KIT, GREEN"," $	2,652.00 ",
94,395400KS,"DUTTI DOLLY STARTER KIT, SILVER"," $	1,530.00 ",
94,B395400KS,"DUTTI DOLLY STARTER KIT, BLACK"," $	1,632.00 ",
94,BL95400KS,"DUTTI DOLLY STARTER KIT, BLUE"," $	1,632.00 ",
94,R395400KS,"DUTTI DOLLY STARTER KIT, RED"," $	1,632.00 ",
94,G395400KS,"DUTTI DOLLY STARTER KIT, GREEN"," $	1,632.00 ",
94,B395420K,"DUTTI DOLLY SPEED WHEELS, SET", $	199.00 ,
94,395400-15,"UNIVERSAL STAND BRACKET, EACH", $	79.00 ,
95,1062-3,LOW PROFILE HANDLE (TIE DOWN) , $	133.00 ,
95,395310,DOLLY SEAT ASSEMBLY , $	373.00 ,
95,429680,JUNIOR RECEIVER, $	67.00 ,
95,395500,DUTTI DOLLY MITCHELL RISER KIT, $	187.00 ,
95,395419,DUTTI TRACK ALUM RND @ 6', $	36.00 ,
95,395416,DUTTI TRACK ALUM RND @ 8', $	49.00 ,
95,395418,"DUTTI DOLLY TRACK  1-1/4"" SQ. @ 6'", $	65.00 ,
95,395417,"DUTTI DOLLY TRACK  1-1/4"" SQ. @ 8'", $	85.00 ,
95,395401,"DUTTI DOLLY TRACK, ANGLE @ 4'", $	36.00 ,
95,395402,"DUTTI DOLLY TRACK, ANGLE @ 6'", $	60.00 ,
95,395403,"DUTTI DOLLY TRACK, ANGLE @ 12'", $	95.00 ,
96,395300,ROUNDY DORRWAY DOLLY," $	3,672.00 ",The crate 395315 is required when ordering this item 
,395315,ROUNDY CRATE, $	138.00 ,No allowable discount on this item.  Required when ordering #395300
96,395205,CENTIPEDE II WHEEL SET," $	3,572.00 ",
96,395198,CENTIPEDE II WHEEL SET CASE," $	1,663.00 ",
97,395100,DOORWAY DOLLY," $	2,706.00 ",
97,395043,DOORWAY DOLLY W/TURRET," $	7,588.00 ",
97,395012,SET HOT BUTTONS, $	994.00 ,
98,395047,WESTERN DOLLY," $	3,382.00 ",
98,399734,TRACK WEDGE, $	5.00 ,
98,399733,"CRIBBING,1X3", $	5.00 ,
98,399732,"CRIBBING,2X4", $	5.00 ,
99,397054,"TRACK, HEAVY WALL, STARTER", $	304.00 ,
99,399735,"TRACK, HEAVY WALL, 4' STRAIGHT", $	503.00 ,
99,397055,"TRACK, HEAVY WALL, 8' STRAIGHT", $	609.00 ,$15.00 Shipping/Storage tube required when ordering this item
99,397056,"TRACK, HEAVY WALL, 10' STRAIGHT", $	760.00 ,$20.00 Shipping/Storage tube required when ordering this item
99,397050,"TRACK, HEAVY WALL, 8' CURVED - 20' DIA.", $	807.00 ,
99,397081,"TRACK, HEAVY WALL, 90 DEGREE CURVED", $	937.00 ,
99,397065,"TRACK,STAINLESS STEEL, 4' STRAIGHT", $	573.00 ,
99,397065,"TRACK,STAINLESS STEEL, 8' STRAIGHT", $	885.00 ,$15.00 Shipping/Storage tube required when ordering this item
99,397067,"TRACK,STAINLESS STEEL, 10' STRAIGHT"," $	1,107.00 ",$20.00 Shipping/Storage tube required when ordering this item
99,397059,"TRACK, STAINLESS STEEL, 8' CURVED - 20' DIA."," $	1,130.00 ",
99,397080,"TRACK, STAINLESS STEEL, 90 DEGREE CURVED"," $	1,145.00 ",
101,169211,"VOODOO CLOTH, 4'X4' SLIP ON", $	179.00 ,
101,319752,"VOODOO CLOTH, 6'X6'", $	204.00 ,
101,319755,"VOODOO CLOTH, 8'X8'", $	266.00 ,
101,319753,"VOODOO CLOTH, 12'X12'", $	490.00 ,
101,319754,"VOODOO CLOTH, 20'X20'", $	980.00 ,
101,569149-1/100,"VOODOO CLOTH 60 "" NFR",,MARKET PRICE
101,319759,"SAIL CLOTH, 6'X6'", $	146.00 ,
101,319761,"SAIL CLOTH, 8'X8'", $	206.00 ,
101,319762,"SAIL CLOTH, 12'X12'", $	382.00 ,
101,319763,"SAIL CLOTH, 20'X20'", $	994.00 ,
101,47-1052,"SAIL CLOTH,58''W",,MARKET PRICE
102,319081,"SINGLE SCRIM, 6'X6'", $	172.00 ,
102,319400,"SINGLE SCRIM, 8'X8'", $	265.00 ,
102,319087,"SINGLE SCRIM, 12'X12'", $	556.00 ,
102,319684,"SINGLE SCRIM, 12'X20'", $	762.00 ,
102,319588,"SINGLE SCRIM, 20'X20'"," $	1,208.00 ",
102,319625,"SINGLE SCRIM, 20'X30'"," $	1,577.00 ",
102,559152,"BOBNET,BLACK,288W",,MARKET PRICE
102,309082,"DOUBLE SCRIM, 6'X6'", $	272.00 ,
102,319401,"DOUBLE SCRIM, 8'X8'", $	410.00 ,
102,319088,"DOUBLE SCRIM, 12'X12'", $	916.00 ,
102,319685,"DOUBLE SCRIM, 12'X20'"," $	1,694.00 ",
102,319599,"DOUBLE SCRIM, 20'X20'"," $	2,081.00 ",
102,309609,"SINGLE SCRIM, WHITE 6'X6'", $	277.00 ,
102,319407,"SINGLE SCRIM, WHITE 8'X8'", $	468.00 ,
102,319612,"SINGLE SCRIM, WHITE 12'X12'"," $	1,005.00 ",
102,319661,"SINGLE SCRIM, WHITE 12'X20'", $	762.00 ,
102,319645,"SINGLE SCRIM, WHITE 20'X20'"," $	2,703.00 ",
102,559153,"BOBNET,WHITE,288W",,MARKET PRICE
102,309085,"DOUBLE SCRIM, WHITE, 6'X6'", $	498.00 ,
102,319408,"DOUBLE SCRIM, WHITE, 8'X8'", $	853.00 ,
102,319090,"DOUBLE SCRIM, WHITE, 12'X12'"," $	1,913.00 ",
102,319684,"DOUBLE SCRIM, WHITE, 12'X20'"," $	2,691.00 ",Price $762.00 in the catalog is incorrect
102,319616,"DOUBLE SCRIM, WHITE, 20'X20'"," $	5,201.00 ",
102,309114,"CHROMAKEY BLUE, 6'X6'", $	199.00 ,
102,319436,"CHROMAKEY BLUE, 8'X8'", $	317.00 ,
102,319095,"CHROMAKEY BLUE, 12'X12'", $	527.00 ,
102,319098,"CHROMAKEY BLUE, 20'X20'"," $	1,052.00 ",
102,319712,"CHROMAKEY BLUE, 20'X30'"," $	1,519.00 ",
102,6303,CHROMAKEY BLUE 60'' WIDE ,,MARKET PRICE
102,309115,"CHROMAKEY GREEN, 6'X6'", $	199.00 ,
102,319437,"CHROMAKEY GREEN, 8'X8'", $	317.00 ,
102,319096,"CHROMAKEY GREEN, 12'X12'", $	527.00 ,
102,319097,"CHROMAKEY GREEN, 20'X20'"," $	1,052.00 ",
102,319711,"CHROMAKEY GREEN, 20'X30'"," $	1,519.00 ",
102,6304,CHROMAKEY GREEN 60'' WIDE ,,MARKET PRICE
102,319162,CHROMAKEY BLUE/GREEN 6'X6', $	293.00 ,
102,319161,CHROMAKEY BLUE/GREEN 8'X8', $	410.00 ,
102,319160,CHROMAKEY BLUE/GREEN 12'X12', $	702.00 ,
102,319159,CHROMAKEY BLUE/GREEN 20'X20'," $	1,216.00 ",
102,6306,CHROMAKEY BLUE/GREEN 60'' WIDE ,,MARKET PRICE
102,319828,"DIGITAL BLUE, 6'X6'", $	209.00 ,
102,319829,"DIGITAL BLUE, 8'X8'", $	326.00 ,
102,319826,"DIGITAL BLUE, 12'X12'", $	585.00 ,
102,319827,"DIGITAL BLUE, 20'X20'"," $	1,057.00 ",
102,6313,DIGITAL BLUE 60'' WIDE ,,MARKET PRICE
102,319794,"DIGITAL GREEN, 6'X6'", $	209.00 ,
102,319790,"DIGITAL GREEN, 8'X8'", $	326.00 ,
102,319792,"DIGITAL GREEN, 12'X12'", $	585.00 ,
102,319793,"DIGITAL GREEN, 20'X20'"," $	1,052.00 ",
102,6305,DIGITAL GREEN 60'' WIDE ,,MARKET PRICE
102,319617,DIGITAL BLUE/GREEN 6'X6', $	302.00 ,
102,319165,DIGITAL BLUE/GREEN 8'X8', $	417.00 ,
102,319164,DIGITAL BLUE/GREEN 12'X12', $	713.00 ,
102,319167,DIGITAL BLUE/GREEN 20'X20'," $	1,229.00 ",
102,6314,DIGITAL BLUE/GREEN 60'' WIDE ,,MARKET PRICE
103,B309084,"BLACK ARTIFICIAL SILK, 6'X6'", $	132.00 ,Price of $172.00 in the catalog is incorrect
103,B319403,"BLACK ARTIFICIAL SILK, 8'X8'", $	163.00 ,
103,B319000,"BLACK ARTIFICIAL SILK, 12'X12'", $	261.00 ,
103,B319687,"BLACK ARTIFICIAL SILK, 12'X20'", $	485.00 ,
103,B319544,"BLACK ARTIFICIAL SILK, 20'X20'", $	495.00 ,
103,B569145,"BLACK ARTIFICIAL, 60"" WIDE",,MARKET PRICE
103,309084,"WHITE ARTIFICIAL SILK, 6'X6'", $	132.00 ,Price of $172.00 in the catalog is incorrect
103,319403,"WHITE ARTIFICIAL SILK, 8'X8'", $	163.00 ,
103,319000,"WHITE ARTIFICIAL SILK, 12'X12'", $	261.00 ,
103,319687,"WHITE ARTIFICIAL SILK, 12'X20'", $	485.00 ,
103,319544,"WHITE ARTIFICIAL SILK, 20'X20'", $	495.00 ,
103,319626,"WHITE ARTIFICIAL SILK, 20'X30'", $	968.00 ,
103,319628,"WHITE ARTIFICIAL SILK, 30'X30'"," $	1,405.00 ",
103,569145,"WHITE ARTIFICIAL SILK, 60"" WIDE",,MARKET PRICE
103,B309610,"BLACK 1/4 STOP SILK, 6'X6'", $	130.00 ,
103,B319405,"BLACK 1/4 STOP SILK, 8'X8'", $	194.00 ,
103,B319613,"BLACK 1/4 STOP SILK, 12'X12'", $	363.00 ,
103,B319688,"BLACK 1/4 STOP SILK, 12'X20'", $	509.00 ,
103,B319646,"BLACK 1/4 STOP SILK, 20'X20'", $	819.00 ,
103,B6157,"BLACK 1/4 STOP SILK, 118"" WIDE",,MARKET PRICE
103,309610,"WHITE 1/4 STOP SILK, 6'X6'", $	130.00 ,
103,319405,"WHITE 1/4 STOP SILK, 8'X8'", $	194.00 ,
103,319613,"WHITE 1/4 STOP SILK, 12'X12'", $	363.00 ,
103,319688,"WHITE 1/4 STOP SILK, 12'X20'", $	509.00 ,
103,319646,"WHITE 1/4 STOP SILK, 20'X20'", $	819.00 ,
103,6157,"WHITE 1/4 STOP SILK, 118"" WIDE",,MARKET PRICE
103,B309605,"BLACK CHINA SILK, 6'X6'", $	188.00 ,
103,B319404,"BLACK CHINA SILK, 8'X8'", $	287.00 ,
103,B319609,"BLACK CHINA SILK,12'X12'", $	498.00 ,
103,B319643,"BLACK CHINA SILK, 12'X20'", $	916.00 ,
103,B319644,"BLACK CHINA SILK, 20'X20'"," $	1,228.00 ",
103,47-1013B,"BLACK CHINA SILK, 45"" WIDE",,MARKET PRICE
103,309605,"WHITE CHINA SILK, 6'X6'", $	188.00 ,
103,319404,"WHITE CHINA SILK, 8'X8'", $	287.00 ,
103,319609,"WHITE CHINA SILK, 12'X12'", $	498.00 ,
103,319643,"WHITE CHINA SILK, 12'X20'", $	916.00 ,
103,319644,"WHITE CHINA SILK, 20'X20'"," $	1,228.00 ",
103,47-1013,"WHITE CHINA SILK, 45"" WIDE",,MARKET PRICE
103,309100,"SILVER LAME, 6'X6'", $	235.00 ,
103,309102,"SILVER LAME, 8'X8'", $	334.00 ,
103,309104,"SILVER LAME, 12'X12'", $	537.00 ,
103,309106,"SILVER LAME, 20'X20'"," $	1,145.00 ",
103,319714,"SILVER LAME, 20'X30'"," $	3,018.00 ",
103,589149,"SILVER LAME, 45"" WIDE",,MARKET PRICE
103,309101,"GOLD LAME, 6'X6'", $	235.00 ,
103,309103,"GOLD LAME, 8'X8'", $	334.00 ,
103,309105,"GOLD LAME, 12'X12'", $	537.00 ,
103,309107,"GOLD LAME, 20'X20'"," $	1,145.00 ",
103,589150,"GOLD LAME, 45"" WIDE",,MARKET PRICE
103,309131,"CHECKERBOARD LAME, 6'X6'", $	480.00 ,
103,309132,"CHECKERBOARD LAME, 8'X8'", $	667.00 ,
103,309133,"CHECKERBOARD LAME, 12'X12'"," $	1,457.00 ",
103,309134,"CHECKERBOARD LAME, 20'X20'"," $	2,706.00 ",Price of $0 in the catalog is incorrect
104,570003,"SILVER GRIFFLECTOR, 6'X6'", $	292.00 ,
104,570012,"SILVER GRIFFLECTOR, 8'X8'", $	398.00 ,
104,570004,"SILVER GRIFFLECTOR, 12'X12'", $	672.00 ,
104,570005,"SILVER GRIFFLECTOR, 20'X20'"," $	1,769.00 ",
104,6104/100,,,"Incorrect in the catalog, this item is not sold in bulk"
104,309606,"SILVER MATTHFLECTOR, 6'X6'", $	199.00 ,
104,309629,"SILVER MATTHFLECTOR, 8'X8'", $	370.00 ,
104,309607,"SILVER MATTHFLECTOR, 12'X12'", $	615.00 ,
104,309608,"SILVER MATTHFLECTOR, 20'X20'"," $	1,405.00 ",
104,6104/100,"SILVER OMEGA, 54"" WIDE",,MARKET PRICE
104,309083,"BLACK SOLID, 6'X6'", $	130.00 ,
104,319402,"BLACK SOLID, 8'X8'", $	168.00 ,
104,319089,"BLACK SOLID, 12'X12'", $	292.00 ,Price of $0 in the catalog is incorrect
104,319686,"BLACK SOLID, 12""X20'", $	448.00 ,
104,319524,"BLACK SOLID, 20'X20'", $	608.00 ,
104,319627,"BLACK SOLID, 20'X30'", $	877.00 ,
104,319629,"BLACK SOLID, 30'X30'"," $	2,142.00 ",
104,579149,"DUVETYNE,BLACK,54''WIDE",,MARKET PRICE
104,319800,"WHITE SOLID, 6'X6'", $	144.00 ,
104,319801,"WHITE SOLID, 8'X8'", $	225.00 ,
104,319802,"WHITE SOLID, 12'X12'", $	360.00 ,Price of $0 in the catalog is incorrect
104,319803,"WHITE SOLID, 20'X20'", $	850.00 ,
104,579151-1,"DUVETYNE,WHITE,54''WIDE",,MARKET PRICE
104,319910,"WET SOLID, 6'X6'", $	146.00 ,
104,319911,"WET SOLID, 8'X8'", $	220.00 ,
104,319912,"WET SOLID, 12'X12'", $	324.00 ,
104,319913,"WET SOLID, 20'X20'", $	700.00 ,
104,6299/100,"WATER BLACK, 58"" WIDE",,MARKET PRICE
104,319009,"MATTHBOUNCE, 6'X6'", $	160.00 ,
104,319010,"MATTHBOUNCE, 8'X8'", $	235.00 ,
104,319011,"MATTHBOUNCE, 12'X12'", $	468.00 ,Part #309011 in the catalog is incorrect
104,319012,"MATTHBOUNCE, 20'X20'"," $	1,168.00 ",Part #309012 in the catalog is incorrect
104,719200,"MATTHBOUNCE, 60"" WIDE",,MARKET PRICE
105,719104,"GRIFFOLYN B/W T55, 6'X6'", $	105.00 ,
105,319406,"GRIFFOLYN B/W T55, 8'X8'", $	168.00 ,
105,719090,"GRIFFOLYN B/W T55, 12'X12'", $	235.00 ,
105,719125,"GRIFFOLYN B/W T55, 12'X20'", $	329.00 ,
105,719547,"GRIFFOLYN B/W T55, 20'X20'", $	440.00 ,
105,719548,"GRIFFOLYN B/W T55, 20'X30'", $	567.00 ,
105,719153,"GRIFFOLYN B/W T55, 12'X100'",,MARKET PRICE
105,719154,"GRIFFOLYN B/W T55, 20'X100'",,MARKET PRICE
105,719671,"GRIFFOLYN W/W T55, 6'X6'", $	119.00 ,
105,719114,"GRIFFOLYN W/W T55, 8'X8'", $	188.00 ,
